264,home,,adv./n.,（在）家
265,homework,,n.,作业
266,horse, ,n.,马
267,hot, ,adj.,热的
268,hotel,,n.,旅馆
269,hour, ,n.,小时
270,hundred,,num.,百
271,hungry,,adj.,饥饿的
272,ice-cream                      , ,n.,冰淇淋
273,in, ,prep/adv.,在…里
274,insect, ,n.,昆虫
275,inside, ,prep.,在…的里面，内部
276,instrument        , ,n.,仪器、器具；乐器
277,into, ,prep.,到…里面，进入到
278,invitation,,n.,邀请；请贴
279,island,,n.,岛，岛屿
280,jam, ,n.,果酱
281,January, ,n.,一月
282,join, ,v.,参加，加入
283,juice, ,n,果汁
284,July,,n.,七月
285,jump, ,v.,跳
286,June, ,n.,六月
287,key,  ,n.,钥匙
288,kilo, ,n.,公里；公斤
289,kitchen, ,n.,厨房
290,kite,,n.,风筝
291,know, ,v.,知道
292,lady,,n.,女士
293,lake,,n.,湖
294,large, ,adj.,巨大的
295,late,,adj.,晚的，迟到的
296,lay,,v.,放置；产卵
297,leaf,  ,n.,叶子
298,leave, v,v.,离开
299,left,,adj..,左边的
300,leg,,n.,腿
301,lemon,,n.,柠檬
302,lesson,,n.,功课
303,letter,,n.,信
304,library,,n.,图书馆
305,light,,n.,灯
306,like,,v.,喜欢
307,listen,,v.,听
308,little,,adj.,小的
309,live, v,v.,生活
310,log,D,n.,圆木
311,long,D,adj.,长的
312,look, k,v.,看
313,lorry,D,n.,卡车，货车
314,lost,D,adj.,丢失的
315,loud            ,,adj.adv.,响的，响亮的
316,lunch, ,n.,午饭
317,make, ,v.,制造；制作
318,man, ,n.,人；男人
319,map,  ,n.,地图
320,March , ,n.,三月
321,Maths,  ,n.,数学
322,May, ,n.,五月
323,meat, t,n.,肉
324,meet, t,v.,见面
325,milk, ,n.,牛奶
326,Miss, ,n.,小姐
327,miss, ,v.,怀念，想念；错过
328,mix, ,v.,混合
329,Monday, ,n.,星期一
330,money, ,n.,钱
331,monkey, ,n.,猴子
332,month, ,n.,月
333,moon,  ,n.,月亮
334,morning, D,n.,早晨
335,mother, ,n.,母亲
336,motor-bike    ,  ,n.,摩托车
337,mountain, ,n.,山，山脉
338,mouse, ,n.,老鼠
339,mouth, ,n.,嘴
340,move,  ,v.,使移动
341,Mr, ,n.,先生
342,Mrs, ,n.,夫人，太太
343,mum, ,n.,（口语）妈妈
